Timestamp,Luminosity_Lux
2024-02-17T12:00:00,67085
2024-02-17T12:00:01,62090
2024-02-17T12:00:02,79945
2024-02-17T12:00:03,3299
2024-02-17T12:00:04,37916
2024-02-17T12:00:05,66717
2024-02-17T12:00:06,74697
2024-02-17T12:00:07,66721
2024-02-17T12:00:08,37140
2024-02-17T12:00:09,46211
2024-02-17T12:00:10,70701
2024-02-17T12:00:11,23808
2024-02-17T12:00:12,80383
2024-02-17T12:00:13,50456
2024-02-17T12:00:14,13335
2024-02-17T12:00:15,29447
2024-02-17T12:00:16,14890
2024-02-17T12:00:17,71826
2024-02-17T12:00:18,92084
2024-02-17T12:00:19,57940
2024-02-17T12:00:20,5182
2024-02-17T12:00:21,89450
2024-02-17T12:00:22,45681
2024-02-17T12:00:23,31135
2024-02-17T12:00:24,96890
2024-02-17T12:00:25,48104
2024-02-17T12:00:26,43541
2024-02-17T12:00:27,92524
2024-02-17T12:00:28,20775
2024-02-17T12:00:29,19605
2024-02-17T12:00:30,47730
2024-02-17T12:00:31,49257
2024-02-17T12:00:32,59564
2024-02-17T12:00:33,71599
2024-02-17T12:00:34,30739
2024-02-17T12:00:35,86551
2024-02-17T12:00:36,1775
2024-02-17T12:00:37,31395
2024-02-17T12:00:38,58457
2024-02-17T12:00:39,11886
2024-02-17T12:00:40,37133
2024-02-17T12:00:41,29078
2024-02-17T12:00:42,64037
2024-02-17T12:00:43,7130
2024-02-17T12:00:44,63341
2024-02-17T12:00:45,2808
2024-02-17T12:00:46,37109
2024-02-17T12:00:47,33669
2024-02-17T12:00:48,96415
2024-02-17T12:00:49,65509
2024-02-17T12:00:50,77489
2024-02-17T12:00:51,7320
2024-02-17T12:00:52,29232
2024-02-17T12:00:53,84370
2024-02-17T12:00:54,59679
2024-02-17T12:00:55,20553
2024-02-17T12:00:56,49886
2024-02-17T12:00:57,11967
2024-02-17T12:00:58,37424
2024-02-17T12:00:59,65434
2024-02-17T12:01:00,82276
2024-02-17T12:01:01,97054
2024-02-17T12:01:02,99932
2024-02-17T12:01:03,92128
2024-02-17T12:01:04,30197
2024-02-17T12:01:05,22152
2024-02-17T12:01:06,56510
2024-02-17T12:01:07,45724
2024-02-17T12:01:08,14811
2024-02-17T12:01:09,92225
2024-02-17T12:01:10,60420
2024-02-17T12:01:11,56722
2024-02-17T12:01:12,73856
2024-02-17T12:01:13,92390
2024-02-17T12:01:14,22479
2024-02-17T12:01:15,13953
2024-02-17T12:01:16,94883
2024-02-17T12:01:17,49813
2024-02-17T12:01:18,97268
2024-02-17T12:01:19,60049
2024-02-17T12:01:20,47478
2024-02-17T12:01:21,6452
2024-02-17T12:01:22,99547
2024-02-17T12:01:23,64669
2024-02-17T12:01:24,87015
2024-02-17T12:01:25,41832
2024-02-17T12:01:26,77125
2024-02-17T12:01:27,6488
2024-02-17T12:01:28,63448
2024-02-17T12:01:29,7663
2024-02-17T12:01:30,3234
2024-02-17T12:01:31,72850
2024-02-17T12:01:32,66839
2024-02-17T12:01:33,12792
2024-02-17T12:01:34,44587
2024-02-17T12:01:35,36454
2024-02-17T12:01:36,23361
2024-02-17T12:01:37,58610
2024-02-17T12:01:38,64544
2024-02-17T12:01:39,85440
2024-02-17T12:01:40,18415
2024-02-17T12:01:41,28446
2024-02-17T12:01:42,59619
2024-02-17T12:01:43,82291
2024-02-17T12:01:44,62224
2024-02-17T12:01:45,71086
2024-02-17T12:01:46,85747
2024-02-17T12:01:47,76634
2024-02-17T12:01:48,31643
2024-02-17T12:01:49,13423
2024-02-17T12:01:50,27344
2024-02-17T12:01:51,24214
2024-02-17T12:01:52,40466
2024-02-17T12:01:53,18587
2024-02-17T12:01:54,97806
2024-02-17T12:01:55,60547
2024-02-17T12:01:56,4690
2024-02-17T12:01:57,65720
2024-02-17T12:01:58,85367
2024-02-17T12:01:59,46959
